epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,10263.9,0.47913,0.37352,1.04435,0.997,0.99937,0.99448,0.9584,0.32517,0.18201,0.90825,0.0043075,0.0043075,0.0043075
117,10340.5,0.48009,0.36714,1.04148,0.99612,0.99887,0.99449,0.95931,0.32338,0.17895,0.90641,0.004258,0.004258,0.004258
118,10416.6,0.46716,0.35278,1.03538,0.99645,0.99876,0.99453,0.95928,0.32076,0.17656,0.90354,0.0042085,0.0042085,0.0042085
119,10492.2,0.47322,0.35323,1.03769,0.99704,0.99939,0.99458,0.95897,0.32038,0.177,0.90354,0.004159,0.004159,0.004159
120,10568.1,0.46569,0.3471,1.03565,0.9965,0.99939,0.99455,0.95825,0.32242,0.17707,0.90559,0.0041095,0.0041095,0.0041095
121,10643.9,0.4702,0.35908,1.03787,0.99668,0.99939,0.99451,0.95858,0.3203,0.17679,0.90352,0.00406,0.00406,0.00406
122,10719.9,0.46954,0.35582,1.03656,0.99707,0.99939,0.99451,0.95921,0.32023,0.17719,0.90415,0.0040105,0.0040105,0.0040105
123,10795.3,0.45799,0.34572,1.03077,0.99739,0.99939,0.9944,0.96046,0.31962,0.17597,0.90354,0.003961,0.003961,0.003961
124,10869.7,0.46174,0.35274,1.03242,0.99654,0.99939,0.99439,0.96138,0.31827,0.17637,0.90117,0.0039115,0.0039115,0.0039115
125,10944.1,0.46291,0.34294,1.03142,0.99725,0.99938,0.99446,0.9601,0.31816,0.17621,0.90101,0.003862,0.003862,0.003862
126,11017.8,0.46313,0.34971,1.03278,0.99762,0.99931,0.99452,0.95909,0.31736,0.1765,0.90055,0.0038125,0.0038125,0.0038125
127,11094.4,0.46269,0.34753,1.03593,0.99761,0.99939,0.99462,0.96187,0.31607,0.1758,0.89927,0.003763,0.003763,0.003763
128,11171.1,0.46429,0.34917,1.03302,0.99765,0.99939,0.99462,0.96182,0.3158,0.17526,0.8994,0.0037135,0.0037135,0.0037135
129,11247,0.45965,0.34614,1.02986,0.99746,0.99939,0.99463,0.96194,0.316,0.17432,0.90011,0.003664,0.003664,0.003664
130,11322.6,0.45661,0.33991,1.02936,0.99683,0.99939,0.99463,0.96193,0.31529,0.17319,0.89931,0.0036145,0.0036145,0.0036145
131,11398.6,0.45279,0.34132,1.02622,0.9968,0.99939,0.99463,0.9619,0.31459,0.17226,0.89884,0.003565,0.003565,0.003565
132,11474.2,0.45283,0.34106,1.02488,0.99707,0.99939,0.99457,0.9622,0.31456,0.17152,0.89861,0.0035155,0.0035155,0.0035155
133,11550.2,0.45282,0.33374,1.03038,0.99691,0.99926,0.99464,0.96187,0.31497,0.17224,0.89881,0.003466,0.003466,0.003466
134,11626.2,0.45845,0.3376,1.03112,0.99637,0.99904,0.99463,0.96241,0.31464,0.17272,0.89833,0.0034165,0.0034165,0.0034165
135,11702.1,0.45386,0.34012,1.03176,0.99669,0.99902,0.99469,0.96213,0.31432,0.17336,0.89782,0.003367,0.003367,0.003367
136,11778,0.44749,0.33006,1.02747,0.9967,0.99786,0.99473,0.9617,0.31435,0.17369,0.89829,0.0033175,0.0033175,0.0033175
137,11854.1,0.4518,0.33217,1.02597,0.99775,0.99753,0.99475,0.96166,0.31453,0.17395,0.89846,0.003268,0.003268,0.003268
138,11931.1,0.44995,0.33468,1.02125,0.99713,0.99753,0.99472,0.96128,0.31452,0.17417,0.89813,0.0032185,0.0032185,0.0032185
139,12009.4,0.45168,0.33767,1.02652,0.99717,0.99753,0.99473,0.96197,0.31452,0.17416,0.89763,0.003169,0.003169,0.003169
140,12085.8,0.44256,0.32776,1.02156,0.99712,0.99753,0.99474,0.96279,0.31434,0.17369,0.89759,0.0031195,0.0031195,0.0031195
141,12161.6,0.44926,0.32835,1.02591,0.99712,0.99753,0.99477,0.96232,0.31404,0.1727,0.89698,0.00307,0.00307,0.00307
142,12237.6,0.44358,0.33195,1.0259,0.99728,0.99753,0.99478,0.96289,0.3132,0.17176,0.89604,0.0030205,0.0030205,0.0030205
143,12313.6,0.4461,0.32997,1.02313,0.99687,0.99749,0.99476,0.96398,0.31277,0.17099,0.89533,0.002971,0.002971,0.002971
