epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,7411.98,0.51903,0.47632,1.08948,0.9901,0.99569,0.99423,0.95174,0.33643,0.19878,0.93044,0.000982576,0.000982576,0.000982576
87,7498.74,0.51743,0.47126,1.09101,0.9898,0.99662,0.99437,0.95257,0.33381,0.19803,0.92775,0.000972247,0.000972247,0.000972247
88,7584.84,0.50855,0.464,1.08744,0.9913,0.99751,0.99454,0.95162,0.33168,0.19488,0.92251,0.000961881,0.000961881,0.000961881
89,7671.38,0.50856,0.4635,1.08481,0.9912,0.9968,0.99453,0.95406,0.32688,0.18817,0.91619,0.000951482,0.000951482,0.000951482
90,7758.37,0.50549,0.46139,1.08475,0.99323,0.99712,0.99434,0.95472,0.32596,0.1877,0.91637,0.000941052,0.000941052,0.000941052
91,7845.05,0.50841,0.46169,1.084,0.99301,0.99498,0.99425,0.95616,0.32736,0.18929,0.91711,0.000930593,0.000930593,0.000930593
92,7931.51,0.50882,0.46763,1.08562,0.99033,0.99553,0.99432,0.9553,0.32669,0.19212,0.91633,0.000920108,0.000920108,0.000920108
93,8017.39,0.50489,0.45348,1.08297,0.98904,0.99851,0.9944,0.95502,0.32716,0.18772,0.91636,0.0009096,0.0009096,0.0009096
94,8104.27,0.50753,0.46847,1.08732,0.99154,0.99768,0.99423,0.95261,0.33011,0.1879,0.9223,0.000899071,0.000899071,0.000899071
95,8190.51,0.50609,0.45635,1.08137,0.9901,0.99872,0.99424,0.95253,0.32913,0.1905,0.92218,0.000888523,0.000888523,0.000888523
96,8276.55,0.5079,0.46288,1.0849,0.99276,0.99577,0.99429,0.95573,0.32588,0.18974,0.91639,0.00087796,0.00087796,0.00087796
97,8363.4,0.50405,0.45177,1.08258,0.991,0.99736,0.99444,0.95758,0.32556,0.18822,0.91734,0.000867384,0.000867384,0.000867384
98,8449.58,0.5051,0.44846,1.08316,0.99079,0.99689,0.9945,0.95581,0.32337,0.18553,0.91459,0.000856797,0.000856797,0.000856797
99,8535.87,0.50608,0.45617,1.08591,0.99097,0.99833,0.99463,0.9575,0.32366,0.18626,0.91386,0.000846202,0.000846202,0.000846202
100,8622.22,0.49501,0.44368,1.07674,0.99194,0.99802,0.99455,0.95784,0.32271,0.18483,0.91275,0.000835602,0.000835602,0.000835602
101,8708.4,0.49754,0.44514,1.08059,0.99326,0.99668,0.99425,0.95585,0.32152,0.18508,0.91285,0.000825,0.000825,0.000825
102,8795.18,0.50776,0.44928,1.0886,0.99088,0.99792,0.99415,0.95712,0.32189,0.18465,0.91391,0.000814398,0.000814398,0.000814398
103,8881.35,0.49745,0.44529,1.08381,0.98904,0.99834,0.99436,0.95689,0.32315,0.18512,0.91479,0.000803798,0.000803798,0.000803798
104,8967.5,0.50206,0.45635,1.07847,0.98942,0.99719,0.99459,0.956,0.3249,0.18738,0.9162,0.000793203,0.000793203,0.000793203
105,9053.96,0.49229,0.44598,1.08015,0.99006,0.99754,0.99452,0.95593,0.32481,0.18558,0.91582,0.000782616,0.000782616,0.000782616
106,9140.34,0.50073,0.4427,1.08064,0.99075,0.99771,0.99454,0.95588,0.32673,0.18505,0.91784,0.00077204,0.00077204,0.00077204
107,9226.79,0.49629,0.44955,1.07845,0.99128,0.99781,0.99451,0.95684,0.32634,0.18406,0.91682,0.000761477,0.000761477,0.000761477
108,9313.29,0.49245,0.43989,1.07849,0.99054,0.9987,0.99452,0.95867,0.32469,0.1819,0.91451,0.000750929,0.000750929,0.000750929
109,9399.31,0.49248,0.43936,1.07786,0.99017,0.99845,0.99447,0.95919,0.32167,0.18289,0.91261,0.0007404,0.0007404,0.0007404
110,9486.18,0.48901,0.43125,1.07359,0.99079,0.99842,0.9945,0.95787,0.3204,0.18126,0.91238,0.000729892,0.000729892,0.000729892
111,9572.05,0.48866,0.42042,1.07297,0.98917,0.99777,0.99454,0.9567,0.31946,0.18214,0.91112,0.000719407,0.000719407,0.000719407
112,9658.4,0.48513,0.43082,1.06997,0.99072,0.99694,0.99451,0.95807,0.31756,0.1803,0.90797,0.000708948,0.000708948,0.000708948
